ID,DateTime,MONTH_NUMBER,MONTH,YEAR,REPORT_PERIOD,MONTHLY_ATTENDANCE,TARGET
1,01/01/2011 12:00:00 AM,1,JANUARY,2011,11-Jan,0,NA
2,01/31/2011 12:00:00 AM,1,JANUARY,2011,11-Jan,230367,NA
3,02/28/2011 12:00:00 AM,2,FEBRUARY,2011,11-Feb,271124,NA
4,03/31/2011 12:00:00 AM,3,MARCH,2011,11-Mar,337191,NA
5,04/30/2011 12:00:00 AM,4,APRIL,2011,11-Apr,323137,NA
6,05/31/2011 12:00:00 AM,5,MAY,2011,11-May,314676,NA
7,06/30/2011 12:00:00 AM,6,JUNE,2011,11-Jun,304455,NA
8,07/31/2011 12:00:00 AM,7,JULY,2011,11-Jul,320698,NA
9,08/31/2011 12:00:00 AM,8,AUGUST,2011,11-Aug,291265,NA
10,09/30/2011 12:00:00 AM,9,SEPTEMBER,2011,11-Sep,243688,NA
11,10/31/2011 12:00:00 AM,10,OCTOBER,2011,11-Oct,304427,NA
12,11/30/2011 12:00:00 AM,11,NOVEMBER,2011,11-Nov,148973,NA
13,12/31/2011 12:00:00 AM,12,DECEMBER,2011,11-Dec,263062,NA
14,01/01/2012 12:00:00 AM,1,JANUARY,2012,12-Jan,0,0
15,01/31/2012 12:00:00 AM,1,JANUARY,2012,12-Jan,282755,230367
16,02/29/2012 12:00:00 AM,2,FEBRUARY,2012,12-Feb,329109,271124
17,03/31/2012 12:00:00 AM,3,MARCH,2012,12-Mar,382587,337191
18,04/30/2012 12:00:00 AM,4,APRIL,2012,12-Apr,355250,323137
19,05/31/2012 12:00:00 AM,5,MAY,2012,12-May,359504,314676
20,06/30/2012 12:00:00 AM,6,JUNE,2012,12-Jun,362206,304455
21,07/31/2012 12:00:00 AM,7,JULY,2012,12-Jul,342683,320698
22,08/31/2012 12:00:00 AM,8,AUGUST,2012,12-Aug,453891,291265
23,09/30/2012 12:00:00 AM,9,SEPTEMBER,2012,12-Sep,283996,243688
24,10/31/2012 12:00:00 AM,10,OCTOBER,2012,12-Oct,357780,304427
25,11/30/2012 12:00:00 AM,11,NOVEMBER,2012,12-Nov,370789,119179
26,12/31/2012 12:00:00 AM,12,DECEMBER,2012,12-Dec,270756,263062
27,01/01/2013 12:00:00 AM,1,JANUARY,2013,13-Jan,0,0
28,01/31/2013 12:00:00 AM,1,JANUARY,2013,13-Jan,353591,282755
29,02/28/2013 12:00:00 AM,2,FEBRUARY,2013,13-Feb,339873,329109
30,03/31/2013 12:00:00 AM,3,MARCH,2013,13-Mar,381396,382587
31,04/30/2013 12:00:00 AM,4,APRIL,2013,13-Apr,416776,355250
32,05/31/2013 12:00:00 AM,5,MAY,2013,13-May,592611,359504
35,08/31/2013 12:00:00 AM,8,AUGUST,2013,13-Aug,384024,453891
36,09/30/2013 12:00:00 AM,9,SEPTEMBER,2013,13-Sep,276541,283996
37,10/31/2013 12:00:00 AM,10,OCTOBER,2013,13-Oct,351036,357780
38,11/30/2013 12:00:00 AM,11,NOVEMBER,2013,13-Nov,381012,370789
39,12/31/2013 12:00:00 AM,12,DECEMBER,2013,13-Dec,268112,270756
40,01/01/2014 12:00:00 AM,1,JANUARY,2014,14-Jan,0,0
41,01/31/2014 12:00:00 AM,1,JANUARY,2014,14-Jan,351448,353591
42,02/28/2014 12:00:00 AM,2,FEBRUARY,2014,14-Feb,365523,339873
43,03/31/2014 12:00:00 AM,3,MARCH,2014,14-Mar,424831,381396
45,05/31/2014 12:00:00 AM,5,MAY,2014,14-May,393330,592611
44,04/30/2014 12:00:00 AM,4,APRIL,2014,14-Apr,389360,416776
34,07/31/2013 12:00:00 AM,7,JULY,2013,13-Jul,369214,342683
33,06/30/2013 12:00:00 AM,6,JUNE,2013,13-Jun,349480,362206
46,06/30/2014 12:00:00 AM,6,JUNE,2014,14-Jun,347269,349480
47,07/31/2014 12:00:00 AM,7,JULY,2014,14-Jul,375803,369214
48,08/31/2014 12:00:00 AM,8,AUGUST,2014,14-Aug,321728,384024
49,09/30/2014 12:00:00 AM,9,SEPTEMBER,2014,14-Sept,309213,276541
50,10/31/2014 12:00:00 AM,10,OCTOBER,2014,14-Oct,368624,351036
51,11/30/2014 12:00:00 AM,11,NOVEMBER,2014,14-Nov,393159,381012
52,12/31/2014 12:00:00 AM,12,DECEMBER,2014,14-Dec,371324,268112
53,01/01/2015 12:00:00 AM,1,JANUARY,2015,15-Jan,0,0
56,03/31/2015 12:00:00 AM,3,MARCH,2015,15-Mar,541733,424831
57,04/30/2015 12:00:00 AM,4,APRIL,2015,15-Apr,496258,389360
58,05/31/2015 12:00:00 AM,5,MAY,2015,15-May,480389,393330
59,06/30/2015 12:00:00 AM,6,JUNE,2015,15-June,432268,347269
60,07/31/2015 12:00:00 AM,7,JULY,2015,15-July,523272,375803
61,08/31/2015 12:00:00 AM,8,AUGUST,2015,15-Aug,513189,321728
54,01/31/2015 12:00:00 AM,1,JANUARY,2015,15-Jan,503447,351448
62,09/30/2015 12:00:00 AM,9,SEPTEMBER,2015,15-Sept,376880,309231
63,10/31/2015 12:00:00 AM,10,OCTOBER,2015,15-Oct,432620,368624
64,11/30/2015 12:00:00 AM,11,NOVEMBER,2015,15-Nov,462637,393159
65,12/31/2015 12:00:00 AM,12,DECEMBER,2015,15-Dec,402371,371324
66,01/01/2016 12:00:00 AM,1,JANUARY,2016,16-Jan,0,0
67,01/31/2016 12:00:00 AM,1,JANUARY,2016,16-Jan,510308,503447
55,02/28/2015 12:00:00 AM,2,FEBRUARY,2015,15-Feb,501420,365523
68,02/29/2016 12:00:00 AM,2,FEBRUARY,2016,16-Feb,509315,501420
70,04/30/2016 12:00:00 AM,4,APRIL,2016,16-Apr,507983,496258
71,05/31/2016 12:00:00 AM,5,MAY,2016,16-May,499505,480389
72,06/30/2016 12:00:00 AM,6,JUNE,2016,16-Jun,436490,432268
73,07/31/2016 12:00:00 AM,7,JULY,2016,16-Jul,487693,523272
74,08/31/2016 12:00:00 AM,8,AUGUST,2016,16-Aug,466961,514467
75,09/30/2016 12:00:00 AM,9,SEPTEMBER,2016,16-Sep,399049,376928
76,10/31/2016 12:00:00 AM,10,OCTOBER,2016,16-Oct,475462,432620
77,11/30/2016 12:00:00 AM,11,NOVEMBER,2016,16-Nov,545393,462637
78,12/31/2016 12:00:00 AM,12,DECEMBER,2016,16-Dec,424747,402371
79,01/31/2017 12:00:00 AM,1,JANUARY,2017,17-Jan,0,0
80,01/31/2017 12:00:00 AM,1,JANUARY,2017,17-Jan,516207,510308
81,02/28/2017 12:00:00 AM,2,FEBRUARY,2017,17-Feb,501590,509315
69,03/31/2016 12:00:00 AM,3,MARCH,2016,16-Mar,516119,541733
82,03/31/2017 12:00:00 AM,3,MARCH,2017,17-Mar,558245,516119
83,04/30/2017 12:00:00 AM,4,APRIL,2017,17-Apr,521738,507983
84,05/30/2017 12:00:00 AM,5,MAY,2017,17-May,510143,499505
