MONTH,X2011,X2012,X2013,X2014,X2015,X2016
APRIL,323137,355250,416776,389360,496258,507983
AUGUST,291265,453891,384024,321728,513189,466961
DECEMBER,263062,270756,268112,371324,402371,424747
FEBRUARY,271124,329109,339873,365523,501420,509315
JANUARY,230367,282755,353591,351448,503447,510308
JULY,320698,342683,369214,375803,523272,487693
JUNE,304455,362206,349480,347269,432268,436490
MARCH,337191,382587,381396,424831,541733,516119
MAY,314676,359504,592611,393330,480389,499505
NOVEMBER,148973,370789,381012,393159,462637,545393
OCTOBER,304427,357780,351036,368624,432620,475462
SEPTEMBER,243688,283996,276541,309213,376880,399049
